@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.157658,0.327029,0.201571,0.521978,0.140403,cluster3
0.171171,0.286323,0.21466,0.56044,0.127281,cluster4
0.315315,0.082898,0.641361,0.409341,0.098928,cluster2
0.220721,0.173514,0.39267,0.453297,0.121463,cluster1
0.162162,0.267878,0.243455,0.571429,0.11764,cluster4
0.274775,0.052007,0.772251,0.173077,0.293731,cluster2
0.261261,0.106537,0.484293,0.39011,0.300153,cluster2
0.234234,0.186368,0.390052,0.552198,0.324107,cluster1
0.189189,0.122964,0.41623,0.483516,0.313632,cluster1
0.162162,0.157758,0.337696,0.491758,0.232134,cluster1
0.175676,0.192931,0.376963,0.376374,0.19807,cluster1
0.328829,0.118391,0.455497,0.450549,0.054033,cluster2
0.445946,0.140021,0.395288,0.337912,0.267872,cluster2
0.193694,0.155467,0.306283,0.489011,0.239998,cluster1
0.189189,0.186805,0.340314,0.368132,0.10793,cluster1
0.184685,0.232647,0.287958,0.546703,0.190621,cluster1
0.274775,0.177436,0.337696,0.53022,0.269193,cluster1
0.333333,0.068802,0.526178,0.384615,0.359409,cluster2
0.220721,0.127993,0.348168,0.456044,0.107531,cluster1
0.238739,0.130682,0.424084,0.563187,0.144348,cluster1
0.189189,0.134604,0.342932,0.392857,0.267328,cluster1
0.153153,0.159175,0.371728,0.582418,0.132585,cluster1
0.202703,0.217463,0.342932,0.697802,0.229327,cluster4
0.351351,0.065899,0.719895,0.494505,0.462418,cluster2
0.189189,0.139904,0.387435,0.401099,0.212958,cluster1
0.148649,0.297594,0.235602,0.505495,0.158647,cluster1
0.234234,0.13539,0.450262,0.379121,0.345256,cluster2
0.193694,0.186892,0.353403,0.634615,0.286721,cluster4
0.234234,0.137769,0.353403,0.362637,0.128709,cluster1
0.207207,0.151846,0.371728,0.392857,0.277851,cluster1
0.184685,0.130041,0.405759,0.5,0.177473,cluster1
0.418919,0.024309,0.730366,0.401099,0.504174,cluster2
0.27027,0.12209,0.544503,0.343407,0.076066,cluster2
0.225225,0.190348,0.274869,0.423077,0.216168,cluster1
0.198198,0.200707,0.366492,0.538462,0.22393,cluster1
0.216216,0.168019,0.340314,0.362637,0.21499,cluster1
0.18018,0.247762,0.36911,0.543956,0.445513,cluster1
0.202703,0.132284,0.47644,0.478022,0.074478,cluster2
0.22973,0.19527,0.32199,0.467033,0.14673,cluster1
