,FIPStxt,State,Area_name,Unemployment_rate_2015,Median_Household_Income_2015,poverty_rate,FIPS Code,college_rate,Unnamed: 0,County,County Code,Deaths,Population,Crude Rate,fire_rate,code,state,total_score,curved_score,grade,2010_gun_death_rate,2009_gun_export_rates
0,01001,AL,"Autauga County, AL",0.157657657658,0.327029493428,0.201570680628,1001,0.521978021978,,"Autauga County, AL",1001,23.0,864759,2.7,0.066021345247,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
1,01003,AL,"Baldwin County, AL",0.171171171171,0.286323126808,0.214659685864,1003,0.56043956044,,"Baldwin County, AL",1003,68.0,2895650,2.3,0.0583271283197,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
2,01005,AL,"Barbour County, AL",0.315315315315,0.0828980836068,0.641361256545,1005,0.409340659341,,"Barbour County, AL",1005,26.0,473640,5.5,0.136262099777,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
3,01007,AL,"Bibb County, AL",0.220720720721,0.173514164223,0.392670157068,1007,0.453296703297,,"Bibb County, AL",1007,24.0,374837,6.4,0.158848349466,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
4,01009,AL,"Blount County, AL",0.162162162162,0.267877599363,0.243455497382,1009,0.571428571429,,"Blount County, AL",1009,35.0,940072,3.7,0.0923306031273,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
5,01011,AL,"Bullock County, AL",0.274774774775,0.0520066792226,0.772251308901,1011,0.173076923077,,"Bullock County, AL",1011,13.0,187222,Unreliable,0.172251178953,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
6,01013,AL,"Butler County, AL",0.261261261261,0.106537483253,0.484293193717,1013,0.39010989011,,"Butler County, AL",1013,32.0,353623,9.0,0.224621494167,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
7,01015,AL,"Calhoun County, AL",0.234234234234,0.186367784401,0.390052356021,1015,0.552197802198,,"Calhoun County, AL",1015,153.0,1959867,7.8,0.193844626458,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
8,01017,AL,"Chambers County, AL",0.189189189189,0.122963710852,0.416230366492,1017,0.483516483516,,"Chambers County, AL",1017,39.0,595089,6.6,0.162571357657,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
9,01019,AL,"Cherokee County, AL",0.162162162162,0.157757800516,0.337696335079,1019,0.491758241758,,"Cherokee County, AL",1019,17.0,429362,Unreliable,0.0982874162323,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
10,01021,AL,"Chilton County, AL",0.175675675676,0.192930508902,0.376963350785,1021,0.376373626374,,"Chilton County, AL",1021,27.0,718998,3.8,0.0933234053115,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
11,01023,AL,"Choctaw County, AL",0.328828828829,0.11839116168,0.455497382199,1023,0.450549450549,,"Choctaw County, AL",1023,17.0,245328,Unreliable,0.172002978407,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
12,01025,AL,"Clarke County, AL",0.445945945946,0.140020969652,0.395287958115,1025,0.337912087912,,"Clarke County, AL",1025,26.0,448517,5.8,0.143956316704,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
13,01027,AL,"Clay County, AL",0.193693693694,0.155466671844,0.306282722513,1027,0.489010989011,,"Clay County, AL",1027,,237511,Suppressed,0.0,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
14,01029,AL,"Cleburne County, AL",0.189189189189,0.186804652156,0.340314136126,1029,0.368131868132,,"Cleburne County, AL",1029,18.0,248805,Unreliable,0.179448994788,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
15,01031,AL,"Coffee County, AL",0.184684684685,0.232646641943,0.287958115183,1031,0.546703296703,,"Coffee County, AL",1031,17.0,806326,Unreliable,0.0523703152147,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
16,01033,AL,"Colbert County, AL",0.274774774775,0.177436265849,0.337696335079,1033,0.53021978022,,"Colbert County, AL",1033,32.0,926647,3.5,0.0856291883842,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
17,01035,AL,"Conecuh County, AL",0.333333333333,0.0688018173699,0.526178010471,1035,0.384615384615,,"Conecuh County, AL",1035,19.0,227665,Unreliable,0.207247455944,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
18,01037,AL,"Coosa County, AL",0.220720720721,0.127992544124,0.348167539267,1037,0.456043956044,,"Coosa County, AL",1037,16.0,194203,Unreliable,0.204517249938,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
19,01039,AL,"Covington County, AL",0.238738738739,0.130681707862,0.424083769634,1039,0.563186813187,,"Covington County, AL",1039,22.0,637992,3.4,0.0856291883842,AL,Alabama,3.5,0.138554216867,D‐,16.179149,33.2
